matricula(tailNum);agnoFabricacion(planeYear);modelo(model);
N051AA;;;
N059AA;;;
N060AA;;;
N063AA;;;
N064AA;;;
N066AA;;;
N067AA;;;
N069AA;;;
N071AA;;;
N073AA;;;
N075AA;;;
N076AA;;;
N077AA;;;
N079AA;;;
N080AA;;;
N081AA;;;
N082AA;;;
N083AA;;;
N084AA;;;
N10156;2004;EMB-145XR;
N102UW;1998;A320-214;
N10323;1986;737-3TO;
N103US;1999;A320-214;
N104UW;1999;A320-214;
N105UW;1999;A320-214;
N106US;1999;A320-214;
N107US;1999;A320-214;
N108UW;1999;A320-214;
N109UW;1999;A320-214;
N110UW;1999;A320-214;
N11106;2002;EMB-145XR;
N11109;2002;EMB-145XR;
N11113;2002;EMB-145XR;
N11119;2002;EMB-145XR;
N11121;2003;EMB-145XR;
N11127;2003;EMB-145XR;
N11137;2003;EMB-145XR;
N11140;2003;EMB-145XR;
N11150;2003;EMB-145XR;
N11155;2004;EMB-145XR;
N11176;2004;EMB-145XR;
N11181;2005;EMB-145XR;
N11184;2005;EMB-145XR;
N11189;2005;EMB-145XR;
N11191;2005;EMB-145XR;
N11192;2005;EMB-145XR;
N11193;2005;EMB-145XR;
N11194;2005;EMB-145XR;
N11199;2006;EMB-145XR;
N111US;1999;A320-214;
N11206;2000;737-824;
N112US;1999;A320-214;
N113UW;1999;A320-214;
N11535;2001;EMB-145LR;
N11536;2001;EMB-145LR;
N11539;2001;EMB-145LR;
N11544;2002;EMB-145LR;
N11548;2002;EMB-145LR;
N11551;2002;EMB-145LR;
N11565;2002;EMB-145LR;
N11612;1994;737-524;
N11651;1997;737-524;
N117UW;2000;A320-214;
N118US;2000;A320-214;
N119US;2000;A320-214;
N12109;1994;757-224;
N12114;1995;757-224;
N12116;1996;757-224;
N12122;2003;EMB-145XR;
N12125;1998;757-224;
N12126;2003;EMB-145XR;
N12135;2003;EMB-145XR;
N12136;2003;EMB-145XR;
N12142;2003;EMB-145XR;
N12145;2003;EMB-145XR;
N12157;2004;EMB-145XR;
N12160;2004;EMB-145XR;
N12172;2004;EMB-145XR;
N12195;2005;EMB-145XR;
N121DE;1987;767-332;
N121UW;2000;A320-214;
N12201;2006;EMB-145XR;
N12216;1998;737-824;
N12218;1998;737-824;
N12221;1998;737-824;
N12225;1998;737-824;
N12238;1999;737-824;
N122US;2000;A320-214;
N12313;1985;737-3TO;
N12318;1986;737-3TO;
N12319;1986;737-3TO;
N12322;1986;737-3TO;
N123UW;2000;A320-214;
N124DE;1987;767-332;
N124US;2000;A320-214;
N12540;2001;EMB-145LR;
N12552;2002;EMB-145LR;
N12564;2002;EMB-145LR;
N12567;2002;EMB-145LR;
N125DL;1988;767-332;
N126AT;2004;737-76N;
N126DL;1988;767-332;
N127DL;1988;767-332;
N128DL;1988;767-332;
N12900;2001;EMB-145LR;
N12921;2000;EMB-145LR;
N12922;2000;EMB-145LR;
N12924;2000;EMB-145LR;
N12934;1997;EMB-145EP;
N12946;1998;EMB-145EP;
N12957;1998;EMB-145LR;
N12967;1999;EMB-145LR;
N12996;2000;EMB-145LR;
N129DL;1988;767-332;
N1309T;1968;DC-9-31;
N130DL;1988;767-332;
N13110;1994;757-224;
N13113;1995;757-224;
N13118;2002;EMB-145XR;
N13123;2003;EMB-145XR;
N13124;2003;EMB-145XR;
N13132;2003;EMB-145XR;
N13133;2003;EMB-145XR;
N13138;1999;757-224;
N131DN;1990;767-332;
N13202;2006;EMB-145XR;
N13248;1999;737-824;
N1332U;1969;DC-9-31;
N13538;2001;EMB-145LR;
N13550;2002;EMB-145LR;
N13553;2002;EMB-145LR;
N13566;2002;EMB-145LR;
N135DL;1991;767-332;
N13624;1995;737-524;
N136DL;1991;767-332;
N13716;1998;737-724;
N13718;1999;737-724;
N13720;1999;737-724;
N13750;1999;737-724;
N137DL;1991;767-332;
N138DL;1991;767-332;
N13903;2001;EMB-145LR;
N13913;2001;EMB-145LR;
N13914;2001;EMB-145LR;
N13929;1997;EMB-145EP;
N13935;1997;EMB-145EP;
N13936;1997;EMB-145EP;
N13949;1998;EMB-145LR;
N13955;1998;EMB-145LR;
N13956;1998;EMB-145LR;
N13958;1998;EMB-145LR;
N13964;1999;EMB-145LR;
N13965;1999;EMB-145LR;
N13968;1999;EMB-145LR;
N13969;1999;EMB-145LR;
N13970;1999;EMB-145LR;
N13975;1999;EMB-145LR;
N13978;1999;EMB-145LR;
N13979;1999;EMB-145LR;
N13988;2000;EMB-145LR;
N13989;2000;EMB-145LR;
N13990;2000;EMB-145LR;
N13992;2000;EMB-145LR;
N13994;2000;EMB-145LR;
N13995;2000;EMB-145LR;
N13997;2000;EMB-145LR;
N139DL;1992;767-332;
N1402A;1993;767-332;
N140LL;1993;767-332;
N14102;1994;757-224;
N14105;2002;EMB-145XR;
N14106;1994;757-224;
N14107;1994;757-224;
N14116;2002;EMB-145XR;
N14117;2002;EMB-145XR;
N14118;1997;757-224;
N14125;2003;EMB-145XR;
N14143;2003;EMB-145XR;
N14148;2003;EMB-145XR;
N14153;2003;EMB-145XR;
N14158;2004;EMB-145XR;
N14162;2004;EMB-145XR;
N14171;2004;EMB-145XR;
N14177;2005;EMB-145XR;
N14179;2005;EMB-145XR;
N14180;2005;EMB-145XR;
