numeroDesvio();aeropuertoDesvio(div1airport/div2airport);avionDesvio(div1TailNum/div2TailNum);idIncidencia();
1;SYR;N335AA;1;
1;IAD;N352AA;2;
1;LAS;N319AA;3;
1;BDL;N5FSAA;4;
1;BWI;N473AA;5;
1;BWI;N473AA;6;
1;BDL;N5FHAA;7;
1;BWI;N5EGAA;8;
1;BDL;N219AA;9;
1;PIT;N3DGAA;10;
1;CMH;N477AA;11;
1;ORD;N550AA;12;
1;IAD;N446AA;13;
1;IAD;N584AA;14;
1;ORF;N504AA;15;
1;DFW;N423AA;16;
1;EWR;N5BTAA;17;
1;IAD;N586AA;18;
2;EWR;;19;
1;ABQ;N5ERAA;20;
1;SCC;N765AS;1622;
1;OME;N762AS;1623;
1;ANC;;1624;
1;OTZ;N762AS;1625;
1;LGA;;1953;
1;ROC;N623JB;1954;
2;SWF;N623JB;1955;
1;PIT;N582JB;1956;
1;AVP;N655JB;1957;
1;ROC;N635JB;1958;
1;AVP;N509JB;1959;
1;IAD;N558JB;1960;
1;SYR;N294JB;1961;
1;SYR;N57111;2413;
1;ONT;N76514;2414;
1;PVD;N3753;2890;
1;SYR;N675DL;2891;
2;EWR;N675DL;2892;
1;CVG;N3757D;2893;
1;ATL;N659DL;2894;
1;LAX;N127DL;2895;
1;BOS;N3743H;2896;
1;DCA;N909DE;2897;
1;BDL;N916DE;2898;
1;BOS;N920DL;2899;
1;BWI;N983DL;2900;
2;EWR;N983DL;2901;
1;BWI;N921DL;2902;
1;ONT;N752AT;2903;
1;ABE;N681BR;3975;
1;PIA;N708EV;3976;
1;ATL;N835AS;3977;
1;ATL;N954AT;4692;
1;ATL;N933AT;4693;
1;BWI;N919AT;4694;
1;HNL;N475HA;5197;
1;ONT;N324MQ;5286;
1;ONT;N240MQ;5287;
1;CID;N695MQ;5288;
1;GRB;N620MQ;5289;
1;BDL;N816MQ;5290;
1;PIT;N833MQ;5291;
1;BOS;N811MQ;5292;
1;BIS;N595NW;6544;
1;DEN;N358NW;6545;
1;PIT;N338NW;6546;
1;PIT;N353NB;6547;
1;BOI;N818NW;6548;
1;DTW;N331NW;6549;
1;BUF;N771NC;6550;
1;MKE;;6551;
1;MKE;N785NC;6552;
1;MDT;N779NC;6553;
1;PIT;;6929;
1;CMH;N989CA;6930;
1;IAH;N821SK;7252;
1;BFL;N299SW;7253;
1;BFL;N565SW;7254;
1;SFO;;7255;
1;SFO;N567SW;7256;
1;FAT;N929SW;7257;
1;SLC;N291SW;7258;
1;ONT;N590UA;8265;
1;ONT;N595UA;8266;
1;MDT;N538UA;8267;
1;PIT;N428UA;8268;
2;PHL;;8269;
1;ONT;N848UA;8270;
2;LAX;;8271;
1;ONT;N427UA;8272;
1;BOS;;8273;
1;LAS;N438UA;8274;
1;MDT;N664AW;9228;
1;PIT;N835AW;9229;
1;PIT;N934UW;9230;
1;PIT;N434US;9231;
1;CLT;N441US;9232;
1;DEN;N106US;9233;
1;PHL;N111US;9234;
1;PIT;N737US;9235;
1;PIT;;9236;
1;MDT;N425US;9237;
1;HRL;;10017;
1;HRL;N352SW;10018;
1;LAS;;10019;
1;DAL;N912WN;10020;
1;CMH;N239WN;10021;
1;ONT;N443WN;10022;
1;IAD;N225WN;10023;
1;LAS;N466WN;10024;
1;BUR;N241WN;10025;
1;MHT;N212WN;10026;
1;BWI;N437WN;10027;
1;BUR;N743SW;10028;
1;ONT;N211WN;10029;
1;ONT;N473WN;10030;
1;ONT;N332SW;10031;
1;LAX;N489WN;10032;
1;ONT;N227WN;10033;
1;PVD;N387SW;10034;
1;SDF;N423WN;10035;
1;BWI;N614SW;10036;
1;PIT;N928WN;10037;
1;TPA;N776WN;10038;
1;PVD;N463WN;10039;
1;PVD;N249WN;10040;
1;ONT;N272WN;10041;
1;BWI;N728SW;10042;
1;MDT;;12029;
1;MSN;N11191;12030;
1;SBA;;12520;
1;IAD;N17175;12521;
