numeroVuelo(flightNum);fecha(flightDate);horaSalida(crsDepTime);horaLlegada(crsArrTime);aeropuertoSalida(originiata);aeropuertoLlegada(destinata);compagnia(carrierCode);avion(tailNum);
2;25/10/2008;935;1802;LAX;JFK;AA;N335AA;
24;25/10/2008;810;1640;SFO;JFK;AA;N352AA;
181;25/10/2008;1745;2100;JFK;LAX;AA;N319AA;
258;25/10/2008;730;1545;LAS;JFK;AA;N5FSAA;
358;25/10/2008;1600;1920;ORD;LGA;AA;N583AA;
360;25/10/2008;1510;1825;ORD;LGA;AA;N473AA;
412;25/10/2008;1305;1700;STT;JFK;AA;N5FHAA;
592;25/10/2008;1625;1920;MIA;LGA;AA;N5EGAA;
732;25/10/2008;1310;1745;DFW;LGA;AA;N219AA;
736;25/10/2008;1400;1830;DFW;LGA;AA;N3DGAA;
738;25/10/2008;1450;1930;DFW;LGA;AA;N477AA;
742;25/10/2008;1555;2029;DFW;LGA;AA;N550AA;
1086;25/10/2008;1555;2005;DFW;PHL;AA;N446AA;
1104;25/10/2008;1535;1905;STL;LGA;AA;N584AA;
1314;25/10/2008;1315;1705;DFW;DCA;AA;N504AA;
1404;26/10/2008;700;925;IAH;ORD;AA;N4WWAA;
1530;25/10/2008;1450;1745;MIA;LGA;AA;N5BTAA;
2022;25/10/2008;1505;1820;BNA;LGA;AA;N586AA;
2459;27/10/2008;1640;1750;DFW;LAX;AA;N5ERAA;
1;25/10/2008;900;1210;JFK;LAX;AA;N329AA;
1;26/10/2008;900;1210;JFK;LAX;AA;N320AA;
1;27/10/2008;900;1210;JFK;LAX;AA;N321AA;
2;26/10/2008;935;1802;LAX;JFK;AA;N328AA;
2;27/10/2008;935;1802;LAX;JFK;AA;N320AA;
3;25/10/2008;1230;1535;JFK;LAX;AA;N332AA;
3;26/10/2008;1230;1535;JFK;LAX;AA;N329AA;
3;27/10/2008;1230;1535;JFK;LAX;AA;N328AA;
5;25/10/2008;1250;1555;DFW;HNL;AA;N374AA;
5;26/10/2008;1250;1555;DFW;HNL;AA;N381AA;
5;27/10/2008;1250;1555;DFW;HNL;AA;N362AA;
6;25/10/2008;1700;500;OGG;DFW;AA;N353AA;
6;26/10/2008;1700;500;OGG;DFW;AA;N360AA;
6;27/10/2008;1700;500;OGG;DFW;AA;N383AA;
7;25/10/2008;1155;1505;DFW;OGG;AA;N353AA;
7;26/10/2008;1155;1505;DFW;OGG;AA;N360AA;
7;27/10/2008;1155;1505;DFW;OGG;AA;N383AA;
8;25/10/2008;1735;555;HNL;DFW;AA;N360AA;
8;26/10/2008;1735;555;HNL;DFW;AA;N381AA;
8;27/10/2008;1735;555;HNL;DFW;AA;N342AA;
10;25/10/2008;2130;545;LAX;JFK;AA;N336AA;
10;26/10/2008;2130;545;LAX;JFK;AA;N322AA;
10;27/10/2008;2130;545;LAX;JFK;AA;N329AA;
14;25/10/2008;2120;525;OGG;LAX;AA;N391AA;
