idVuelo;cancelled;cancellationName;diverted;div1airport;div2airport;compania;carrierDelay;tiempo;weatherDelay;NAS;nasDelay;seguridad;securityDelay;previo;lateAircraftDelay;
1;0;;1;SYR;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
2;0;;1;IAD;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
3;0;;1;LAS;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
4;0;;1;BDL;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
5;0;;1;BWI;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
6;0;;1;BWI;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
7;0;;1;BDL;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
8;0;;1;BWI;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
9;0;;1;BDL;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
10;0;;1;PIT;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
11;0;;1;CMH;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
12;0;;1;ORD;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
13;0;;1;IAD;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
14;0;;1;IAD;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
15;0;;1;ORF;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
16;0;;1;DFW;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
17;0;;1;EWR;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
18;0;;1;IAD;1;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
18;0;;1;EWR;2;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
19;0;;1;ABQ;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;
24;0;;0;;;compania;0;tiempo;0;NAS;25;seguridad;0;previo;0;
29;0;;0;;;compania;20;tiempo;0;NAS;0;seguridad;0;previo;0;
30;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;
35;0;;0;;;compania;0;tiempo;0;NAS;21;seguridad;0;previo;0;
42;0;;0;;;compania;0;tiempo;0;NAS;18;seguridad;0;previo;0;
46;0;;0;;;compania;17;tiempo;0;NAS;0;seguridad;0;previo;0;
46;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;
48;0;;0;;;compania;12;tiempo;0;NAS;0;seguridad;0;previo;0;
48;0;;0;;;compania;0;tiempo;0;NAS;4;seguridad;0;previo;0;
48;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;41;
56;0;;0;;;compania;0;tiempo;0;NAS;131;seguridad;0;previo;0;
59;0;;0;;;compania;0;tiempo;85;NAS;0;seguridad;0;previo;0;
59;0;;0;;;compania;0;tiempo;0;NAS;28;seguridad;0;previo;0;
67;0;;0;;;compania;45;tiempo;0;NAS;0;seguridad;0;previo;0;
73;0;;0;;;compania;0;tiempo;0;NAS;16;seguridad;0;previo;0;
77;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;
78;0;;0;;;compania;0;tiempo;0;NAS;55;seguridad;0;previo;0;
81;0;;0;;;compania;0;tiempo;0;NAS;97;seguridad;0;previo;0;
87;0;;0;;;compania;0;tiempo;0;NAS;75;seguridad;0;previo;0;
90;0;;0;;;compania;15;tiempo;0;NAS;0;seguridad;0;previo;0;
90;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;8;
94;0;;0;;;compania;51;tiempo;0;NAS;0;seguridad;0;previo;0;
95;0;;0;;;compania;8;tiempo;0;NAS;0;seguridad;0;previo;0;
95;0;;0;;;compania;0;tiempo;0;NAS;7;seguridad;0;previo;0;
96;0;;0;;;compania;15;tiempo;0;NAS;0;seguridad;0;previo;0;
107;0;;0;;;compania;0;tiempo;0;NAS;18;seguridad;0;previo;0;
111;0;;0;;;compania;0;tiempo;0;NAS;19;seguridad;0;previo;0;
112;0;;0;;;compania;0;tiempo;0;NAS;23;seguridad;0;previo;0;
113;0;;0;;;compania;0;tiempo;0;NAS;20;seguridad;0;previo;0;
117;0;;0;;;compania;0;tiempo;0;NAS;75;seguridad;0;previo;0;
123;0;;0;;;compania;0;tiempo;0;NAS;53;seguridad;0;previo;0;
126;0;;0;;;compania;0;tiempo;0;NAS;1;seguridad;0;previo;0;
126;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;45;
127;0;;0;;;compania;0;tiempo;0;NAS;18;seguridad;0;previo;0;
132;0;;0;;;compania;0;tiempo;13;NAS;0;seguridad;0;previo;0;
132;0;;0;;;compania;0;tiempo;0;NAS;19;seguridad;0;previo;0;
132;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;9;
133;0;;0;;;compania;0;tiempo;0;NAS;19;seguridad;0;previo;0;
135;0;;0;;;compania;0;tiempo;9;NAS;0;seguridad;0;previo;0;
135;0;;0;;;compania;0;tiempo;0;NAS;17;seguridad;0;previo;0;
135;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;58;
143;0;;0;;;compania;12;tiempo;0;NAS;0;seguridad;0;previo;0;
143;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;4;
147;0;;0;;;compania;0;tiempo;0;NAS;18;seguridad;0;previo;0;
150;0;;0;;;compania;10;tiempo;0;NAS;0;seguridad;0;previo;0;
150;0;;0;;;compania;0;tiempo;0;NAS;4;seguridad;0;previo;0;
150;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;48;
151;0;;0;;;compania;0;tiempo;0;NAS;93;seguridad;0;previo;0;
157;0;;0;;;compania;0;tiempo;0;NAS;20;seguridad;0;previo;0;
160;0;;0;;;compania;0;tiempo;0;NAS;172;seguridad;0;previo;0;
166;0;;0;;;compania;0;tiempo;0;NAS;52;seguridad;0;previo;0;
174;0;;0;;;compania;0;tiempo;2;NAS;0;seguridad;0;previo;0;
174;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;59;
182;0;;0;;;compania;10;tiempo;0;NAS;0;seguridad;0;previo;0;
182;0;;0;;;compania;0;tiempo;0;NAS;4;seguridad;0;previo;0;
182;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;45;
183;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;48;
184;0;;0;;;compania;4;tiempo;0;NAS;0;seguridad;0;previo;0;
184;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;84;
187;0;;0;;;compania;0;tiempo;0;NAS;40;seguridad;0;previo;0;
190;0;;0;;;compania;147;tiempo;0;NAS;0;seguridad;0;previo;0;
190;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;5;
197;0;;0;;;compania;0;tiempo;0;NAS;15;seguridad;0;previo;0;
204;0;;0;;;compania;17;tiempo;0;NAS;0;seguridad;0;previo;0;
207;0;;0;;;compania;38;tiempo;0;NAS;0;seguridad;0;previo;0;
207;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;6;
210;0;;0;;;compania;50;tiempo;0;NAS;0;seguridad;0;previo;0;
212;0;;0;;;compania;25;tiempo;0;NAS;0;seguridad;0;previo;0;
217;0;;0;;;compania;42;tiempo;0;NAS;0;seguridad;0;previo;0;
225;0;;0;;;compania;0;tiempo;0;NAS;23;seguridad;0;previo;0;
226;0;;0;;;compania;29;tiempo;0;NAS;0;seguridad;0;previo;0;
226;0;;0;;;compania;0;tiempo;0;NAS;11;seguridad;0;previo;0;
