numeroDesvio();aeropuertoDesvio(div1airport/div2airport);avionDesvio(div1TailNum/div2TailNum);idIncidencia();
1;SYR;N335AA;1;
1;IAD;N352AA;3;
1;LAS;N319AA;5;
1;BDL;N5FSAA;7;
1;BWI;N473AA;9;
1;BWI;N473AA;11;
1;BDL;N5FHAA;12;
1;BWI;N5EGAA;14;
1;BDL;N219AA;16;
1;PIT;N3DGAA;18;
1;CMH;N477AA;20;
1;ORD;N550AA;22;
1;IAD;N446AA;24;
1;IAD;N584AA;26;
1;ORF;N504AA;28;
1;DFW;N423AA;30;
1;EWR;N5BTAA;32;
1;IAD;N586AA;34;
2;EWR;;35;
1;ABQ;N5ERAA;36;
1;SCC;N765AS;1639;
1;OME;N762AS;1641;
1;ANC;;1643;
1;OTZ;N762AS;1644;
1;LGA;;1973;
1;ROC;N623JB;1974;
2;SWF;N623JB;1975;
1;PIT;N582JB;1977;
1;AVP;N655JB;1979;
1;ROC;N635JB;1981;
1;AVP;N509JB;1983;
1;IAD;N558JB;1985;
1;SYR;N294JB;1987;
1;SYR;N57111;2440;
1;ONT;N76514;2442;
1;PVD;N3753;2919;
1;SYR;N675DL;2921;
2;EWR;N675DL;2923;
1;CVG;N3757D;2925;
1;ATL;N659DL;2927;
1;LAX;N127DL;2929;
1;BOS;N3743H;2931;
1;DCA;N909DE;2932;
1;BDL;N916DE;2934;
1;BOS;N920DL;2935;
1;BWI;N983DL;2937;
2;EWR;N983DL;2938;
1;BWI;N921DL;2940;
1;ONT;N752AT;2942;
1;ABE;N681BR;4015;
1;PIA;N708EV;4017;
1;ATL;N835AS;4019;
1;ATL;N954AT;4735;
1;ATL;N933AT;4737;
1;BWI;N919AT;4739;
1;HNL;N475HA;5243;
1;ONT;N324MQ;5333;
1;ONT;N240MQ;5335;
1;CID;N695MQ;5337;
1;GRB;N620MQ;5338;
1;BDL;N816MQ;5340;
1;PIT;N833MQ;5342;
1;BOS;N811MQ;5344;
1;BIS;N595NW;6597;
1;DEN;N358NW;6599;
1;PIT;N338NW;6601;
1;PIT;N353NB;6603;
1;BOI;N818NW;6605;
1;DTW;N331NW;6607;
1;BUF;N771NC;6609;
1;MKE;;6611;
1;MKE;N785NC;6612;
1;MDT;N779NC;6614;
1;PIT;;6991;
1;CMH;N989CA;6992;
1;IAH;N821SK;7315;
1;BFL;N299SW;7317;
1;BFL;N565SW;7319;
1;SFO;;7321;
1;SFO;N567SW;7322;
1;FAT;N929SW;7324;
1;SLC;N291SW;7326;
1;ONT;N590UA;8334;
1;ONT;N595UA;8336;
1;MDT;N538UA;8338;
1;PIT;N428UA;8340;
2;PHL;;8341;
1;ONT;N848UA;8342;
2;LAX;;8343;
1;ONT;N427UA;8344;
1;BOS;;8346;
1;LAS;N438UA;8347;
1;MDT;N664AW;9302;
1;PIT;N835AW;9304;
1;PIT;N934UW;9306;
1;PIT;N434US;9308;
1;CLT;N441US;9310;
1;DEN;N106US;9312;
1;PHL;N111US;9314;
1;PIT;N737US;9316;
1;PIT;;9318;
1;MDT;N425US;9319;
1;HRL;;10100;
1;HRL;N352SW;10101;
1;LAS;;10103;
1;DAL;N912WN;10104;
1;CMH;N239WN;10106;
1;ONT;N443WN;10108;
1;IAD;N225WN;10110;
1;LAS;N466WN;10112;
1;BUR;N241WN;10114;
1;MHT;N212WN;10116;
1;BWI;N437WN;10118;
1;BUR;N743SW;10120;
1;ONT;N211WN;10122;
1;ONT;N473WN;10124;
1;ONT;N332SW;10126;
1;LAX;N489WN;10128;
1;ONT;N227WN;10130;
1;PVD;N387SW;10132;
1;SDF;N423WN;10134;
1;BWI;N614SW;10136;
1;PIT;N928WN;10138;
1;TPA;N776WN;10140;
1;PVD;N463WN;10142;
1;PVD;N249WN;10144;
1;ONT;N272WN;10146;
1;BWI;N728SW;10148;
1;MDT;;12136;
1;MSN;N11191;12137;
1;SBA;;12628;
1;IAD;N17175;12629;
