flightNum;cancelled;cancellationName;diverted;div1airport;div2airport;compania;carrierDelay;tiempo;weatherDelay;NAS;nasDelay;seguridad;securityDelay;previo;lateAircraftDelay;desvio;divArrDelay;
1;0;;1;SYR;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
1;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;231;
2;0;;1;IAD;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
2;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;283;
3;0;;1;LAS;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
3;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;265;
4;0;;1;BDL;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
4;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;185;
5;0;;1;BWI;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
5;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;241;
6;0;;1;BWI;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
7;0;;1;BDL;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
7;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;212;
8;0;;1;BWI;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
8;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;251;
9;0;;1;BDL;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
9;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;182;
10;0;;1;PIT;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
10;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;358;
11;0;;1;CMH;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
11;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;300;
12;0;;1;ORD;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;;
