flightNum;cancelled;cancellationName;diverted;div1airport;div2airport;compania;carrierDelay;tiempo;weatherDelay;NAS;nasDelay;seguridad;securityDelay;previo;lateAircraftDelay;desvio;divArrDelay;idIncidencia

1;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;231;2

2;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;283;4

3;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;265;6

4;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;185;8

5;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;241;10


7;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;212;13

8;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;251;15

9;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;182;17

10;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;358;19

11;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;300;21

12;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;135;23

13;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;115;25

14;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;293;27

15;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;144;29

16;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;201;31

17;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;172;33



19;0;;0;;;compania;0;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;83;37
24;0;;0;;;compania;0;tiempo;0;NAS;25;seguridad;0;previo;0;desvio;0;38
29;0;;0;;;compania;20;tiempo;0;NAS;0;seguridad;0;previo;0;desvio;0;39
