causa();duracion(carrierDelay/weatherDelay/Retraso NASDelay/securityDelay/lateAircraftDelay/divArrDelay);idIncidencia();
Retraso Desvio;231;2;
Retraso Desvio;283;4;
Retraso Desvio;265;6;
Retraso Desvio;185;8;
Retraso Desvio;241;10;
Retraso Desvio;212;13;
Retraso Desvio;251;15;
Retraso Desvio;182;17;
Retraso Desvio;358;19;
Retraso Desvio;300;21;
Retraso Desvio;135;23;
Retraso Desvio;115;25;
Retraso Desvio;293;27;
Retraso Desvio;144;29;
Retraso Desvio;201;31;
Retraso Desvio;172;33;
Retraso Desvio;83;37;
Retraso NAS;25;38;
Retraso Compagnia;20;39;
Retraso NAS;15;40;
Retraso NAS;21;41;
Retraso NAS;18;42;
Retraso Compagnia;17;43;
Retraso NAS;15;44;
Retraso Compagnia;12;45;
Retraso NAS;4;46;
Retraso Previo;41;47;
Retraso NAS;131;48;
Retraso Meteorologico;85;49;
Retraso NAS;28;50;
Retraso Compagnia;45;51;
Retraso NAS;16;52;
Retraso NAS;15;53;
Retraso NAS;55;54;
Retraso NAS;97;55;
Retraso NAS;75;56;
Retraso Compagnia;15;57;
Retraso Previo;8;58;
Retraso Compagnia;51;59;
Retraso Compagnia;8;60;
Retraso NAS;7;61;
Retraso Compagnia;15;62;
Retraso NAS;18;63;
Retraso NAS;19;64;
Retraso NAS;23;65;
Retraso NAS;20;66;
Retraso NAS;75;67;
Retraso NAS;53;68;
Retraso NAS;1;69;
Retraso Previo;45;70;
Retraso NAS;18;71;
Retraso Meteorologico;13;72;
Retraso NAS;19;73;
Retraso Previo;9;74;
Retraso NAS;19;75;
Retraso Meteorologico;9;76;
Retraso NAS;17;77;
Retraso Previo;58;78;
Retraso Compagnia;12;79;
Retraso Previo;4;80;
Retraso NAS;18;81;
Retraso Compagnia;10;82;
Retraso NAS;4;83;
Retraso Previo;48;84;
Retraso NAS;93;85;
Retraso NAS;20;86;
Retraso NAS;172;87;
Retraso NAS;52;88;
Retraso Meteorologico;2;89;
Retraso Previo;59;90;
Retraso Compagnia;10;91;
Retraso NAS;4;92;
Retraso Previo;45;93;
Retraso Previo;48;94;
Retraso Compagnia;4;95;
Retraso Previo;84;96;
Retraso NAS;40;97;
Retraso Compagnia;147;98;
Retraso Previo;5;99;
Retraso NAS;15;100;
Retraso Compagnia;17;101;
Retraso Compagnia;38;102;
Retraso Previo;6;103;
Retraso Compagnia;50;104;
Retraso Compagnia;25;105;
Retraso Compagnia;42;106;
Retraso NAS;23;107;
Retraso Compagnia;29;108;
Retraso NAS;11;109;
Retraso Compagnia;25;110;
Retraso NAS;22;111;
Retraso NAS;27;112;
Retraso NAS;71;113;
Retraso Meteorologico;24;114;
Retraso NAS;18;115;
Retraso Previo;180;116;
Retraso Compagnia;31;117;
Retraso NAS;23;118;
Retraso Compagnia;41;119;
Retraso NAS;4;120;
Retraso Compagnia;77;121;
Retraso NAS;15;122;
Retraso NAS;25;123;
Retraso NAS;31;124;
Retraso Compagnia;45;125;
Retraso NAS;60;126;
Retraso NAS;38;127;
Retraso Compagnia;90;128;
Retraso NAS;26;129;
Retraso Previo;78;130;
Retraso Compagnia;27;131;
Retraso NAS;25;132;
Retraso NAS;20;133;
Retraso NAS;21;134;
Retraso Compagnia;16;135;
Retraso Compagnia;39;136;
Retraso NAS;6;137;
Retraso NAS;22;139;
Retraso Compagnia;74;141;
Retraso Compagnia;70;142;
Retraso Previo;34;143;
Retraso NAS;22;144;
Retraso NAS;103;145;
Retraso Previo;86;146;
Retraso Meteorologico;7;147;
Retraso Previo;11;148;
Retraso NAS;31;149;
Retraso NAS;30;150;
Retraso Compagnia;19;151;
Retraso NAS;22;152;
Retraso NAS;122;153;
Retraso NAS;65;154;
Retraso Previo;76;155;
Retraso Previo;52;156;
Retraso NAS;47;157;
Retraso NAS;79;158;
Retraso Previo;3;159;
Retraso NAS;26;160;
Retraso Previo;13;161;
Retraso NAS;2;162;
Retraso Previo;39;163;
Retraso NAS;42;164;
Retraso NAS;47;165;
Retraso Compagnia;21;166;
Retraso NAS;23;167;
Retraso NAS;22;168;
Retraso NAS;128;169;
Retraso NAS;83;170;
Retraso NAS;87;171;
Retraso Meteorologico;11;172;
Retraso Previo;9;173;
Retraso Compagnia;18;174;
Retraso Previo;30;175;
Retraso NAS;10;176;
Retraso Previo;13;177;
Retraso NAS;30;178;
Retraso Previo;16;179;
Retraso NAS;116;180;
Retraso NAS;65;181;
Retraso Meteorologico;4;182;
Retraso Previo;93;183;
Retraso Compagnia;18;184;
Retraso Previo;41;185;
Retraso Compagnia;37;186;
Retraso NAS;16;187;
Retraso Compagnia;10;188;
Retraso Previo;44;189;
Retraso NAS;36;190;
Retraso Previo;5;191;
Retraso NAS;80;192;
Retraso NAS;50;193;
Retraso Previo;1;194;
Retraso Meteorologico;2;195;
Retraso Previo;19;196;
Retraso NAS;8;197;
Retraso Previo;69;198;
Retraso NAS;78;200;
Retraso Previo;13;201;
Retraso NAS;29;202;
Retraso Meteorologico;5;203;
Retraso NAS;5;204;
Retraso Previo;76;205;
Retraso NAS;113;206;
Retraso NAS;3;207;
Retraso Previo;39;208;
Retraso NAS;108;209;
Retraso Meteorologico;6;210;
Retraso NAS;21;211;
Retraso Previo;47;212;
Retraso NAS;23;213;
Retraso NAS;80;214;
Retraso NAS;57;215;
Retraso NAS;18;216;
Retraso Previo;24;217;
Retraso NAS;25;218;
Retraso NAS;100;219;
Retraso NAS;51;220;
Retraso Meteorologico;12;221;
Retraso Previo;63;222;
Retraso Compagnia;20;223;
Retraso NAS;50;224;
Retraso NAS;19;225;
Retraso NAS;70;226;
Retraso NAS;28;227;
Retraso Previo;6;228;
Retraso Previo;18;229;
Retraso Meteorologico;4;230;
Retraso Previo;42;231;
Retraso NAS;28;232;
Retraso NAS;15;233;
Retraso Compagnia;17;234;
Retraso NAS;14;235;
Retraso Previo;98;236;
Retraso Compagnia;94;237;
Retraso NAS;29;238;
Retraso Compagnia;20;239;
Retraso NAS;6;240;
Retraso Compagnia;34;241;
Retraso NAS;6;242;
Retraso Compagnia;8;243;
Retraso NAS;4;244;
Retraso Previo;36;245;
Retraso Compagnia;61;246;
Retraso Compagnia;136;247;
Retraso NAS;45;248;
Retraso NAS;25;249;
Retraso NAS;15;250;
Retraso Meteorologico;14;251;
Retraso Previo;46;252;
Retraso NAS;7;253;
Retraso Previo;88;254;
Retraso Compagnia;52;255;
Retraso Compagnia;4;256;
Retraso NAS;1;257;
Retraso Previo;19;258;
Retraso Compagnia;40;259;
Retraso Compagnia;31;260;
Retraso NAS;4;261;
Retraso NAS;26;262;
Retraso Compagnia;78;263;
Retraso Previo;9;264;
Retraso NAS;19;265;
Retraso Compagnia;39;266;
Retraso Compagnia;12;267;
Retraso NAS;15;268;
Retraso Previo;32;269;
Retraso Compagnia;6;270;
Retraso NAS;10;271;
Retraso Compagnia;37;272;
Retraso Compagnia;19;273;
Retraso NAS;3;275;
Retraso Previo;15;276;
Retraso Compagnia;6;277;
Retraso NAS;9;278;
Retraso Compagnia;238;279;
Retraso NAS;5;280;
Retraso Meteorologico;12;281;
Retraso NAS;5;282;
Retraso NAS;23;283;
Retraso NAS;78;284;
Retraso Compagnia;39;285;
Retraso Previo;5;286;
Retraso Compagnia;18;287;
Retraso NAS;24;288;
Retraso Previo;12;289;
Retraso Compagnia;25;291;
Retraso NAS;1;292;
Retraso Compagnia;9;293;
Retraso NAS;14;294;
Retraso Compagnia;31;295;
Retraso Meteorologico;7;296;
Retraso NAS;2;297;
Retraso Previo;35;298;
Retraso Compagnia;54;299;
Retraso NAS;2;300;
Retraso Previo;24;301;
Retraso Compagnia;17;302;
Retraso NAS;10;303;
Retraso Previo;3;304;
Retraso Compagnia;12;305;
Retraso NAS;10;306;
Retraso Previo;41;307;
Retraso Compagnia;12;308;
Retraso NAS;6;309;
Retraso Compagnia;46;310;
Retraso NAS;10;311;
Retraso NAS;26;312;
Retraso NAS;15;313;
Retraso NAS;22;314;
Retraso Previo;12;315;
Retraso Compagnia;11;316;
Retraso NAS;24;317;
Retraso Compagnia;25;319;
Retraso NAS;2;320;
Retraso Previo;37;321;
Retraso Compagnia;20;322;
Retraso Compagnia;73;323;
Retraso NAS;5;324;
Retraso NAS;59;325;
Retraso Compagnia;8;326;
Retraso NAS;10;327;
Retraso Meteorologico;1;328;
Retraso NAS;14;329;
Retraso Previo;93;330;
Retraso Previo;62;331;
Retraso NAS;28;332;
Retraso Previo;6;333;
Retraso NAS;3;334;
Retraso Previo;52;335;
Retraso Compagnia;44;336;
Retraso NAS;10;337;
Retraso Compagnia;8;338;
Retraso NAS;7;339;
Retraso Meteorologico;9;340;
Retraso Previo;90;341;
Retraso Meteorologico;23;342;
Retraso NAS;99;343;
Retraso NAS;56;344;
Retraso Compagnia;30;345;
Retraso NAS;214;346;
Retraso NAS;2;347;
Retraso Previo;41;348;
Retraso NAS;35;349;
Retraso Previo;41;350;
Retraso Compagnia;57;351;
Retraso Compagnia;105;352;
Retraso NAS;11;353;
Retraso Previo;28;354;
Retraso Compagnia;25;355;
Retraso NAS;24;356;
Retraso NAS;42;357;
Retraso Previo;20;358;
Retraso Compagnia;11;359;
Retraso NAS;11;360;
Retraso Previo;5;361;
Retraso Compagnia;8;362;
Retraso NAS;10;363;
Retraso Previo;15;364;
Retraso Compagnia;36;365;
Retraso NAS;2;366;
Retraso Compagnia;9;367;
Retraso Previo;59;368;
Retraso Compagnia;203;369;
Retraso Compagnia;44;370;
Retraso Previo;65;371;
Retraso NAS;7;372;
Retraso Previo;14;373;
Retraso NAS;11;374;
Retraso Previo;30;375;
Retraso Compagnia;57;376;
Retraso NAS;15;377;
Retraso NAS;27;378;
Retraso NAS;60;379;
Retraso NAS;7;380;
Retraso Previo;51;381;
Retraso NAS;35;382;
Retraso NAS;22;383;
Retraso NAS;83;384;
Retraso NAS;94;385;
Retraso NAS;21;386;
Retraso NAS;18;387;
Retraso Compagnia;8;388;
Retraso Previo;45;389;
Retraso NAS;37;390;
Retraso Compagnia;20;391;
Retraso NAS;1;392;
Retraso Compagnia;61;393;
Retraso NAS;4;394;
Retraso Meteorologico;4;395;
Retraso Previo;94;396;
Retraso Previo;79;397;
Retraso NAS;115;398;
Retraso NAS;92;399;
Retraso Compagnia;11;400;
Retraso NAS;3;401;
Retraso Previo;45;402;
Retraso Compagnia;4;403;
Retraso Previo;15;404;
Retraso Compagnia;4;405;
Retraso Previo;12;406;
Retraso NAS;28;407;
Retraso NAS;52;408;
Retraso NAS;15;409;
Retraso Meteorologico;6;410;
Retraso NAS;9;411;
Retraso Previo;27;412;
Retraso NAS;70;413;
Retraso Compagnia;23;414;
Retraso Compagnia;14;415;
Retraso Previo;4;416;
Retraso NAS;125;417;
Retraso NAS;83;418;
Retraso Meteorologico;6;419;
Retraso NAS;2;420;
Retraso Previo;110;421;
Retraso Previo;61;422;
Retraso NAS;37;424;
Retraso Compagnia;6;425;
Retraso NAS;24;426;
Retraso NAS;85;427;
Retraso NAS;79;428;
Retraso Meteorologico;30;429;
Retraso Previo;33;430;
Retraso Compagnia;9;431;
Retraso NAS;20;432;
Retraso NAS;48;433;
Retraso NAS;16;434;
Retraso Compagnia;10;435;
Retraso NAS;5;436;
Retraso Compagnia;45;437;
Retraso NAS;24;438;
Retraso Meteorologico;5;439;
Retraso Previo;12;440;
Retraso NAS;2;441;
Retraso Previo;14;442;
Retraso NAS;48;443;
Retraso NAS;65;444;
Retraso Compagnia;13;445;
Retraso NAS;2;446;
Retraso Previo;26;447;
Retraso Compagnia;6;448;
Retraso NAS;7;449;
Retraso Previo;3;450;
Retraso NAS;17;451;
Retraso Compagnia;33;452;
Retraso NAS;1;453;
Retraso Previo;15;454;
Retraso NAS;17;455;
Retraso NAS;29;456;
Retraso NAS;17;457;
Retraso Compagnia;37;458;
Retraso Compagnia;8;459;
Retraso NAS;19;460;
Retraso NAS;1;461;
Retraso Previo;33;462;
Retraso Compagnia;15;463;
Retraso Previo;25;464;
Retraso Compagnia;21;465;
Retraso NAS;6;466;
Retraso Previo;24;467;
Retraso Compagnia;30;468;
Retraso NAS;17;469;
Retraso NAS;93;470;
Retraso NAS;55;471;
Retraso Compagnia;61;472;
Retraso Previo;4;473;
Retraso NAS;58;474;
Retraso Compagnia;104;475;
Retraso Compagnia;15;476;
Retraso Previo;32;477;
Retraso Compagnia;12;478;
Retraso Previo;6;479;
Retraso NAS;15;480;
Retraso NAS;37;481;
Retraso NAS;26;482;
Retraso NAS;121;483;
Retraso NAS;47;484;
Retraso Compagnia;7;485;
Retraso Previo;31;486;
Retraso NAS;21;487;
Retraso Previo;48;488;
Retraso NAS;15;489;
Retraso NAS;28;490;
Retraso Compagnia;48;491;
Retraso NAS;31;492;
Retraso Compagnia;20;493;
Retraso NAS;10;494;
Retraso Previo;8;495;
Retraso Compagnia;33;496;
Retraso Compagnia;20;497;
Retraso NAS;13;498;
Retraso Previo;55;499;
Retraso Previo;22;500;
Retraso NAS;33;501;
Retraso Compagnia;2;502;
Retraso NAS;14;503;
Retraso Previo;17;504;
Retraso NAS;19;505;
Retraso NAS;22;506;
Retraso Compagnia;425;507;
Retraso NAS;34;508;
Retraso NAS;17;509;
Retraso Previo;35;510;
Retraso NAS;25;511;
Retraso Previo;25;512;
Retraso NAS;7;513;
Retraso Previo;29;514;
Retraso NAS;30;515;
Retraso NAS;65;516;
Retraso NAS;82;517;
Retraso Previo;15;518;
Retraso Compagnia;57;519;
Retraso NAS;3;520;
Retraso Compagnia;28;521;
Retraso NAS;12;522;
Retraso Previo;1;523;
Retraso NAS;16;524;
Retraso NAS;19;525;
Retraso Previo;3;526;
Retraso Compagnia;15;527;
Retraso NAS;8;528;
Retraso Meteorologico;8;529;
Retraso Previo;18;530;
Retraso NAS;13;531;
Retraso Previo;19;532;
Retraso Compagnia;19;533;
Retraso Previo;9;534;
Retraso Previo;17;535;
Retraso Compagnia;121;536;
Retraso NAS;26;537;
Retraso Compagnia;67;538;
Retraso NAS;2;539;
Retraso Previo;1;540;
Retraso NAS;66;541;
Retraso NAS;94;542;
Retraso Meteorologico;8;543;
Retraso NAS;5;544;
Retraso Previo;61;545;
Retraso Previo;50;546;
Retraso NAS;61;547;
Retraso NAS;50;548;
Retraso NAS;17;549;
Retraso Compagnia;131;550;
Retraso Compagnia;22;551;
Retraso Meteorologico;7;552;
Retraso Compagnia;58;553;
Retraso NAS;114;554;
Retraso NAS;89;555;
Retraso Meteorologico;5;556;
Retraso Previo;76;557;
Retraso NAS;14;558;
Retraso Previo;74;559;
Retraso NAS;9;560;
Retraso Previo;21;561;
Retraso Compagnia;16;562;
Retraso NAS;3;563;
Retraso Compagnia;20;564;
Retraso NAS;18;565;
Retraso Previo;8;566;
Retraso NAS;33;567;
Retraso Compagnia;34;568;
Retraso Previo;13;569;
Retraso NAS;16;570;
Retraso NAS;44;571;
Retraso Compagnia;14;572;
Retraso NAS;22;573;
Retraso Previo;4;574;
Retraso Compagnia;8;575;
Retraso NAS;7;576;
Retraso NAS;30;577;
Retraso NAS;16;578;
Retraso NAS;26;579;
Retraso NAS;19;580;
Retraso Compagnia;10;581;
Retraso NAS;2;582;
Retraso Previo;4;583;
Retraso NAS;20;584;
Retraso NAS;49;586;
Retraso Compagnia;28;587;
Retraso NAS;5;588;
Retraso NAS;49;589;
Retraso NAS;91;590;
Retraso Previo;13;591;
Retraso Compagnia;15;592;
Retraso NAS;2;593;
Retraso Previo;12;594;
Retraso Compagnia;40;595;
Retraso Compagnia;15;596;
Retraso Compagnia;14;597;
Retraso NAS;16;598;
Retraso Compagnia;5;599;
Retraso NAS;6;600;
Retraso Previo;9;601;
Retraso NAS;63;602;
Retraso Previo;2;603;
Retraso NAS;61;604;
Retraso Previo;20;605;
Retraso NAS;90;606;
Retraso Compagnia;7;607;
Retraso NAS;12;608;
Retraso Compagnia;16;609;
Retraso Compagnia;13;610;
Retraso Previo;23;611;
Retraso NAS;20;612;
Retraso Compagnia;163;613;
Retraso NAS;14;614;
Retraso Meteorologico;31;615;
Retraso NAS;3;616;
Retraso Compagnia;3;617;
Retraso NAS;5;618;
Retraso Previo;14;619;
Retraso NAS;66;620;
Retraso Previo;1;621;
Retraso NAS;67;622;
Retraso Previo;29;623;
Retraso Meteorologico;4;624;
Retraso Previo;44;625;
Retraso NAS;15;626;
Retraso Previo;80;627;
Retraso NAS;18;628;
Retraso Compagnia;15;629;
Retraso NAS;3;630;
Retraso NAS;8;631;
Retraso Previo;32;632;
Retraso NAS;16;633;
Retraso Compagnia;28;634;
Retraso NAS;15;635;
Retraso Previo;10;636;
Retraso Compagnia;128;637;
Retraso NAS;8;638;
Retraso NAS;23;639;
Retraso Compagnia;84;640;
Retraso Previo;1;641;
Retraso Compagnia;10;642;
Retraso NAS;5;643;
Retraso Previo;7;644;
Retraso NAS;32;645;
Retraso NAS;18;646;
Retraso NAS;17;647;
Retraso Compagnia;187;648;
Retraso Previo;59;649;
Retraso Compagnia;18;650;
Retraso Compagnia;95;651;
Retraso Previo;14;652;
Retraso Compagnia;334;653;
Retraso NAS;6;654;
Retraso Previo;25;655;
Retraso NAS;18;656;
Retraso Compagnia;43;658;
Retraso NAS;2;659;
Retraso Previo;8;660;
Retraso Compagnia;8;661;
Retraso Previo;11;662;
Retraso Previo;27;663;
Retraso Previo;139;664;
Retraso Compagnia;14;665;
Retraso Previo;118;666;
Retraso Compagnia;3;667;
Retraso Previo;52;668;
Retraso Compagnia;126;669;
Retraso Previo;16;670;
Retraso Compagnia;14;671;
Retraso NAS;1;672;
Retraso Compagnia;2;673;
Retraso Previo;60;674;
Retraso Compagnia;88;675;
Retraso NAS;77;676;
Retraso NAS;31;677;
Retraso NAS;24;678;
Retraso NAS;20;679;
Retraso Previo;134;680;
Retraso NAS;17;681;
Retraso Compagnia;39;682;
Retraso NAS;23;683;
Retraso Compagnia;16;684;
Retraso NAS;8;685;
Retraso NAS;101;686;
Retraso NAS;75;687;
Retraso Previo;25;688;
Retraso Compagnia;70;689;
Retraso Compagnia;12;690;
Retraso NAS;5;691;
Retraso Previo;10;692;
Retraso Compagnia;7;693;
Retraso Previo;18;694;
Retraso NAS;79;695;
Retraso NAS;85;696;
Retraso Meteorologico;9;697;
Retraso Previo;59;698;
Retraso NAS;4;699;
Retraso Previo;53;700;
Retraso NAS;26;701;
Retraso NAS;34;702;
Retraso NAS;23;703;
Retraso Compagnia;7;704;
Retraso Previo;10;705;
Retraso Compagnia;18;706;
Retraso Compagnia;2;707;
Retraso NAS;12;708;
Retraso Previo;18;709;
Retraso Compagnia;28;710;
Retraso NAS;1;711;
Retraso NAS;7;712;
Retraso Previo;25;713;
Retraso Compagnia;2;714;
Retraso NAS;5;715;
Retraso Previo;19;716;
Retraso Compagnia;14;717;
Retraso NAS;3;718;
Retraso Compagnia;6;719;
Retraso Previo;16;720;
Retraso Compagnia;2;721;
Retraso NAS;5;722;
Retraso Previo;30;723;
Retraso NAS;68;724;
Retraso Previo;7;725;
Retraso NAS;90;726;
Retraso NAS;16;727;
Retraso Meteorologico;27;728;
Retraso Compagnia;28;729;
Retraso NAS;4;730;
Retraso Previo;23;731;
Retraso Compagnia;35;732;
Retraso NAS;6;733;
Retraso Compagnia;67;734;
Retraso NAS;5;735;
Retraso NAS;27;736;
Retraso Compagnia;8;737;
Retraso NAS;3;738;
Retraso Previo;12;739;
Retraso NAS;37;740;
Retraso NAS;15;741;
Retraso Compagnia;12;742;
Retraso NAS;11;743;
Retraso NAS;26;744;
Retraso Previo;3;745;
Retraso NAS;29;746;
Retraso Compagnia;76;747;
Retraso Previo;20;748;
Retraso NAS;2;749;
Retraso Previo;18;750;
Retraso Compagnia;8;751;
Retraso Previo;70;752;
Retraso NAS;29;753;
Retraso NAS;119;754;
Retraso Previo;2;755;
Retraso NAS;116;756;
Retraso Compagnia;224;757;
Retraso NAS;2;758;
Retraso Previo;73;759;
Retraso NAS;18;760;
Retraso NAS;1;761;
Retraso Previo;50;762;
Retraso NAS;16;763;
Retraso Compagnia;12;764;
Retraso NAS;5;765;
Retraso Compagnia;18;766;
Retraso NAS;2;767;
Retraso Compagnia;32;768;
Retraso Previo;30;769;
Retraso Compagnia;26;770;
Retraso Compagnia;46;771;
Retraso NAS;4;772;
Retraso NAS;17;773;
Retraso NAS;17;774;
Retraso NAS;15;775;
Retraso NAS;22;776;
Retraso Compagnia;21;777;
Retraso Compagnia;10;778;
Retraso NAS;30;779;
Retraso Previo;12;780;
Retraso Compagnia;5;781;
